127.0.0.1 - - [12/Jun/2019:09:22:22 +0900] "GET / HTTP/1.1" 404 1115
70.12.50.220 - - [12/Jun/2019:09:22:24 +0900] "GET /day02/a.html HTTP/1.1" 200 202
70.12.50.220 - - [12/Jun/2019:09:22:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
70.12.50.223 - - [12/Jun/2019:09:23:09 +0900] "GET /day02/a.html HTTP/1.1" 200 202
70.12.50.223 - - [12/Jun/2019:09:23:10 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
70.12.50.220 - - [12/Jun/2019:09:24:57 +0900] "GET /day02/a.html HTTP/1.1" 200 241
70.12.50.220 - - [12/Jun/2019:09:26:59 +0900] "GET /day02/a.html HTTP/1.1" 200 250
70.12.50.220 - - [12/Jun/2019:09:34:04 +0900] "GET /day02/a.html HTTP/1.1" 200 227
70.12.50.220 - - [12/Jun/2019:09:34:05 +0900] "GET /day02/b1.html HTTP/1.1" 200 143
70.12.50.220 - - [12/Jun/2019:09:35:51 +0900] "GET /day02/a.html HTTP/1.1" 200 243
70.12.50.220 - - [12/Jun/2019:09:35:52 +0900] "GET /day02/b1.html HTTP/1.1" 304 -
70.12.50.220 - - [12/Jun/2019:09:37:25 +0900] "GET /day02/a.html HTTP/1.1" 200 617
70.12.50.220 - - [12/Jun/2019:09:39:27 +0900] "GET /day02/a.html HTTP/1.1" 200 631
70.12.50.220 - - [12/Jun/2019:09:39:29 +0900] "GET /day02/a.html HTTP/1.1" 304 -
70.12.50.220 - - [12/Jun/2019:09:39:52 +0900] "GET /day02/a.html HTTP/1.1" 200 640
70.12.50.220 - - [12/Jun/2019:09:40:13 +0900] "GET /day02/a.html HTTP/1.1" 200 654
70.12.50.220 - - [12/Jun/2019:09:44:32 +0900] "GET /day02/a.html HTTP/1.1" 200 697
70.12.50.220 - - [12/Jun/2019:09:44:33 +0900] "GET /day02/file/tomcat.zip HTTP/1.1" 200 12812842
70.12.50.220 - - [12/Jun/2019:09:47:12 +0900] "GET /day02/a.html HTTP/1.1" 200 737
70.12.50.220 - - [12/Jun/2019:09:47:20 +0900] "GET /day02/a.html HTTP/1.1" 200 737
70.12.50.220 - - [12/Jun/2019:10:07:09 +0900] "GET /day02/a.html HTTP/1.1" 200 810
70.12.50.220 - - [12/Jun/2019:10:07:53 +0900] "GET /day02/a.html HTTP/1.1" 200 843
70.12.50.220 - - [12/Jun/2019:10:08:04 +0900] "GET /day02/a.html HTTP/1.1" 200 842
70.12.50.220 - - [12/Jun/2019:10:11:23 +0900] "GET /day02/a.html HTTP/1.1" 200 916
70.12.50.220 - - [12/Jun/2019:10:11:35 +0900] "GET /day02/a.html HTTP/1.1" 304 -
70.12.50.220 - - [12/Jun/2019:10:12:31 +0900] "GET /day02/a.html HTTP/1.1" 200 916
70.12.50.220 - - [12/Jun/2019:10:12:32 +0900] "GET /day02/b1.html HTTP/1.1" 304 -
70.12.50.220 - - [12/Jun/2019:10:21:10 +0900] "GET /day02/img.html HTTP/1.1" 200 280
70.12.50.220 - - [12/Jun/2019:10:21:10 +0900] "GET /day02/img/m1.jpg HTTP/1.1" 200 6912
70.12.50.220 - - [12/Jun/2019:10:21:10 +0900] "GET /day02/img/m2.jpg HTTP/1.1" 200 10091
70.12.50.220 - - [12/Jun/2019:10:21:10 +0900] "GET /day02/img/m5.jpg HTTP/1.1" 200 10044
70.12.50.220 - - [12/Jun/2019:10:21:10 +0900] "GET /day02/img/m3.jpg HTTP/1.1" 200 10536
70.12.50.220 - - [12/Jun/2019:10:21:10 +0900] "GET /day02/img/m4.jpg HTTP/1.1" 200 11121
70.12.50.220 - - [12/Jun/2019:10:23:16 +0900] "GET /day02/img.html HTTP/1.1" 200 322
70.12.50.220 - - [12/Jun/2019:10:23:16 +0900] "GET /day02/img/m2.jpg HTTP/1.1" 304 -
70.12.50.220 - - [12/Jun/2019:10:23:16 +0900] "GET /day02/img/m1.jpg HTTP/1.1" 304 -
